"filename", "language", "CSS", "XML", "JavaScript React", "JavaScript", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"d:\Web Development\React Course\quotes\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 33, 71
"d:\Web Development\React Course\quotes\package-lock.json", "JSON", 0, 0, 0, 0, 28531, 0, 0, 0, 1, 28532
"d:\Web Development\React Course\quotes\package.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"d:\Web Development\React Course\quotes\public\index.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"d:\Web Development\React Course\quotes\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"d:\Web Development\React Course\quotes\src\App.css", "CSS", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Web Development\React Course\quotes\src\App.js", "JavaScript", 0, 0, 0, 71, 0, 0, 0, 0, 9, 80
"d:\Web Development\React Course\quotes\src\Components\Layout\Header.jsx", "JavaScript React", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\Web Development\React Course\quotes\src\Components\Layout\Header.module.css", "CSS", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\Web Development\React Course\quotes\src\Components\UI\Button.jsx", "JavaScript React", 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"d:\Web Development\React Course\quotes\src\Components\UI\Button.module.css", "CSS", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\Web Development\React Course\quotes\src\Components\UI\Card.jsx", "JavaScript React", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\Web Development\React Course\quotes\src\Components\UI\Card.module.css", "CSS", 78, 0, 0, 0, 0, 0, 0, 0, 13, 91
"d:\Web Development\React Course\quotes\src\Components\UI\Loading.jsx", "JavaScript React", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\Web Development\React Course\quotes\src\Components\UI\Loading.module.css", "CSS", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\Web Development\React Course\quotes\src\index.css", "CSS", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Web Development\React Course\quotes\src\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Web Development\React Course\quotes\src\logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 146, 1, 53, 81, 28594, 23, 38, 0, 81, 29017
